               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077029,            0.046432,            0.031687,               0.902,              0.1305,              0.1548,             0.06272,            0.055943,            0.058473,            0.022433,             0.07008,           0.0033244,           0.0033244
                   1,            0.061096,            0.040234,            0.021338,             0.47472,              0.3445,             0.27512,             0.13315,            0.050255,            0.055233,            0.018185,            0.040014,           0.0065918,           0.0065918
                   2,            0.056019,            0.038349,            0.017952,             0.60701,             0.35685,             0.36477,             0.16895,            0.045143,            0.053554,            0.014915,           0.0098824,           0.0097933,           0.0097933
                   3,            0.050427,            0.037659,            0.015242,             0.73566,             0.41111,             0.50947,             0.26405,            0.041151,            0.052014,            0.012081,            0.009703,            0.009703,            0.009703
                   4,            0.046363,            0.036822,            0.012687,             0.64787,             0.53434,             0.56353,             0.29803,            0.037743,            0.050594,            0.010308,            0.009703,            0.009703,            0.009703
                   5,            0.044197,            0.035308,            0.011336,             0.66464,             0.56407,             0.61904,             0.33152,            0.037612,            0.049868,           0.0093146,            0.009604,            0.009604,            0.009604
                   6,            0.042725,            0.035401,            0.010025,             0.72809,             0.63018,             0.67825,               0.364,            0.036204,            0.048949,           0.0081333,            0.009505,            0.009505,            0.009505
                   7,            0.041669,            0.034731,           0.0091561,             0.78943,             0.63945,             0.72141,             0.40104,            0.035309,            0.048059,           0.0073382,            0.009406,            0.009406,            0.009406
                   8,            0.040325,            0.033595,           0.0081977,             0.75156,             0.66052,             0.72179,             0.41706,            0.034432,            0.047269,           0.0074668,            0.009307,            0.009307,            0.009307
                   9,             0.03953,            0.033623,           0.0075634,             0.76466,             0.71763,             0.76058,             0.43877,            0.033327,            0.047035,           0.0063588,            0.009208,            0.009208,            0.009208
                  10,            0.038643,            0.033015,           0.0071875,             0.77922,              0.7095,             0.78096,             0.45255,            0.032929,            0.046626,           0.0060282,            0.009109,            0.009109,            0.009109
                  11,            0.038163,            0.033103,            0.006773,             0.83756,             0.73078,             0.80194,             0.46812,            0.032588,            0.045807,           0.0057191,             0.00901,             0.00901,             0.00901
                  12,            0.037466,            0.032285,           0.0064883,             0.82794,             0.73001,             0.80263,             0.47372,            0.032168,            0.045306,             0.00557,            0.008911,            0.008911,            0.008911
                  13,            0.036993,            0.032792,           0.0062312,             0.84048,             0.74213,             0.82325,             0.48811,            0.031693,            0.044979,           0.0051127,            0.008812,            0.008812,            0.008812
                  14,            0.036335,            0.032003,           0.0057502,             0.83193,             0.74759,             0.81701,              0.5038,            0.031341,            0.044453,           0.0049948,            0.008713,            0.008713,            0.008713
                  15,            0.035886,            0.031556,           0.0055553,             0.85765,             0.74842,             0.82776,             0.50572,            0.030945,             0.04424,           0.0049084,            0.008614,            0.008614,            0.008614
                  16,            0.035623,            0.031271,           0.0054834,             0.79962,             0.78443,             0.82584,             0.50189,            0.031173,            0.044275,           0.0044449,            0.008515,            0.008515,            0.008515
                  17,            0.035296,            0.030926,           0.0052611,             0.89163,               0.775,              0.8555,             0.51905,            0.030568,            0.043589,           0.0043555,            0.008416,            0.008416,            0.008416
                  18,             0.03476,            0.030391,           0.0050606,             0.85096,             0.77086,             0.84595,             0.52672,            0.030103,            0.043103,           0.0042164,            0.008317,            0.008317,            0.008317
                  19,            0.034525,            0.030329,           0.0049333,             0.85719,             0.76638,             0.83314,             0.51705,            0.030053,            0.042811,           0.0042263,            0.008218,            0.008218,            0.008218
                  20,            0.034274,            0.030102,           0.0047404,             0.84509,             0.78838,             0.83845,             0.53564,            0.029968,            0.042214,           0.0041391,            0.008119,            0.008119,            0.008119
                  21,            0.033695,            0.029554,           0.0046059,             0.85763,             0.80725,             0.86068,             0.54233,             0.02948,            0.042373,           0.0040991,             0.00802,             0.00802,             0.00802
                  22,            0.033475,            0.029706,           0.0046814,             0.83838,             0.79182,              0.8613,             0.54867,            0.029698,            0.042827,           0.0039855,            0.007921,            0.007921,            0.007921
                  23,            0.033342,            0.029794,           0.0044829,             0.85239,             0.80272,             0.85677,             0.54817,            0.029251,            0.041864,            0.003906,            0.007822,            0.007822,            0.007822
                  24,            0.033068,            0.029403,           0.0043286,             0.87379,             0.81498,             0.87556,             0.56563,            0.029161,             0.04171,           0.0037875,            0.007723,            0.007723,            0.007723
                  25,            0.032915,            0.029104,           0.0041881,             0.87016,             0.81375,             0.85976,             0.55381,            0.028867,            0.041487,           0.0035715,            0.007624,            0.007624,            0.007624
                  26,            0.032764,            0.029424,           0.0042182,             0.87572,             0.80491,             0.87284,             0.56326,            0.028747,             0.04119,           0.0036922,            0.007525,            0.007525,            0.007525
                  27,            0.032265,            0.028717,           0.0040403,             0.88006,             0.79778,             0.87448,             0.57259,            0.028589,            0.041334,           0.0036043,            0.007426,            0.007426,            0.007426
                  28,            0.032402,             0.02873,            0.004058,              0.8778,              0.8149,             0.87834,             0.58194,             0.02837,            0.040996,           0.0034767,            0.007327,            0.007327,            0.007327
                  29,            0.032235,            0.028797,           0.0040058,              0.8896,             0.81384,             0.88223,             0.58035,            0.028199,            0.040679,           0.0034057,            0.007228,            0.007228,            0.007228
                  30,            0.031689,            0.028668,           0.0037974,             0.89366,             0.79538,             0.86695,             0.57052,             0.02803,            0.040607,           0.0033806,            0.007129,            0.007129,            0.007129
                  31,            0.031807,            0.028614,           0.0038996,             0.88829,             0.80323,             0.88516,             0.58903,            0.027977,            0.040232,           0.0033982,             0.00703,             0.00703,             0.00703
                  32,            0.031569,            0.028341,           0.0038229,             0.87234,             0.83717,             0.88516,             0.57666,            0.027808,            0.040343,           0.0032648,            0.006931,            0.006931,            0.006931
                  33,            0.031165,            0.028249,           0.0036122,              0.8818,             0.82569,             0.88991,              0.5869,            0.027623,            0.039927,           0.0031327,            0.006832,            0.006832,            0.006832
                  34,            0.031128,            0.027544,           0.0035843,             0.89746,              0.8281,             0.88711,             0.59327,            0.027619,             0.03968,           0.0031355,            0.006733,            0.006733,            0.006733
                  35,            0.030989,            0.028317,            0.003585,             0.90893,             0.82533,             0.89099,              0.5962,            0.027497,            0.039754,           0.0031403,            0.006634,            0.006634,            0.006634
                  36,            0.030672,            0.027479,           0.0035391,             0.91395,             0.81567,             0.89143,             0.59834,            0.027377,            0.039864,           0.0032049,            0.006535,            0.006535,            0.006535
                  37,            0.030872,            0.027691,           0.0034513,             0.90602,             0.81465,             0.88185,             0.60076,            0.027277,             0.03947,           0.0031868,            0.006436,            0.006436,            0.006436
                  38,            0.030447,            0.027369,           0.0035411,             0.88206,             0.82045,             0.87967,             0.59585,             0.02718,            0.039468,           0.0030825,            0.006337,            0.006337,            0.006337
                  39,            0.030365,            0.027528,           0.0034142,             0.90311,             0.82752,             0.89162,             0.60307,            0.027085,              0.0396,           0.0030989,            0.006238,            0.006238,            0.006238
                  40,            0.030203,             0.02709,            0.003287,             0.88953,             0.84108,             0.89691,             0.61094,            0.026938,            0.039216,           0.0030974,            0.006139,            0.006139,            0.006139
                  41,            0.030137,            0.027374,           0.0033305,             0.91133,             0.82398,             0.89095,              0.6028,            0.026892,            0.038844,           0.0030372,             0.00604,             0.00604,             0.00604
                  42,            0.029774,            0.027038,           0.0032759,             0.90674,             0.82081,             0.89292,             0.61264,            0.026654,            0.038782,            0.002947,            0.005941,            0.005941,            0.005941
                  43,             0.02959,            0.026224,           0.0031719,             0.89202,             0.81793,             0.88292,             0.60918,            0.026666,             0.03882,           0.0029789,            0.005842,            0.005842,            0.005842
                  44,            0.029678,            0.026402,           0.0032459,             0.90427,             0.83404,             0.89781,             0.61884,            0.026489,            0.038626,           0.0029544,            0.005743,            0.005743,            0.005743
                  45,            0.029651,            0.027222,           0.0033705,             0.91208,              0.8418,             0.90023,             0.61967,            0.026441,            0.038496,           0.0029367,            0.005644,            0.005644,            0.005644
                  46,            0.029225,            0.026366,           0.0030764,             0.89283,             0.81271,             0.88379,             0.61706,            0.026312,            0.038368,           0.0028689,            0.005545,            0.005545,            0.005545
                  47,            0.029204,            0.026303,           0.0030996,             0.85975,             0.86265,             0.89924,             0.62556,            0.026188,            0.038155,           0.0028423,            0.005446,            0.005446,            0.005446
                  48,            0.028975,            0.025803,           0.0030685,              0.9283,             0.82086,             0.89856,             0.62754,            0.026054,            0.038099,           0.0026721,            0.005347,            0.005347,            0.005347
                  49,            0.028999,            0.026103,           0.0030379,             0.88778,             0.83112,             0.88714,             0.62017,             0.02606,               0.038,           0.0027905,            0.005248,            0.005248,            0.005248
                  50,            0.028642,            0.026047,           0.0030299,             0.91046,             0.83693,             0.90213,             0.62494,            0.025961,            0.037998,           0.0027697,            0.005149,            0.005149,            0.005149
                  51,            0.028815,            0.026191,           0.0029662,             0.91016,             0.81818,             0.89814,             0.63085,            0.026008,            0.038068,           0.0027788,             0.00505,             0.00505,             0.00505
                  52,             0.02844,            0.025734,           0.0028788,             0.90061,             0.82614,              0.8949,             0.63418,            0.025855,            0.037827,           0.0026164,            0.004951,            0.004951,            0.004951
                  53,            0.028611,            0.025729,               0.003,             0.92391,             0.81868,             0.89964,             0.63736,            0.025788,            0.037825,           0.0025777,            0.004852,            0.004852,            0.004852
                  54,            0.028365,             0.02569,           0.0029665,             0.91727,              0.8294,             0.90144,             0.63975,            0.025711,            0.037589,           0.0026089,            0.004753,            0.004753,            0.004753
                  55,            0.028091,            0.025298,           0.0028739,             0.91048,             0.83396,              0.9006,             0.64117,            0.025617,            0.037466,           0.0026505,            0.004654,            0.004654,            0.004654
                  56,            0.028104,            0.025404,           0.0028833,             0.89984,              0.8424,             0.89834,             0.63731,            0.025483,             0.03713,           0.0027017,            0.004555,            0.004555,            0.004555
                  57,            0.027662,            0.025201,           0.0028933,             0.91491,             0.83642,             0.90864,             0.64631,            0.025391,            0.037142,           0.0025827,            0.004456,            0.004456,            0.004456
                  58,            0.027857,            0.025341,           0.0027813,             0.91629,             0.84849,             0.90718,             0.64177,            0.025326,            0.037075,            0.002478,            0.004357,            0.004357,            0.004357
                  59,            0.027562,            0.024912,           0.0026807,             0.92081,             0.83802,             0.90271,             0.64509,            0.025228,            0.037103,            0.002549,            0.004258,            0.004258,            0.004258
                  60,             0.02765,            0.025001,           0.0027569,             0.91129,             0.85433,             0.90661,             0.64667,            0.025268,            0.036894,           0.0025676,            0.004159,            0.004159,            0.004159
                  61,            0.027461,            0.024837,           0.0027636,             0.92508,             0.85771,              0.9119,             0.64933,            0.025178,            0.036705,           0.0024695,             0.00406,             0.00406,             0.00406
                  62,            0.027334,            0.024861,           0.0026476,             0.92859,             0.82345,             0.90676,              0.6492,            0.025114,            0.036716,           0.0026006,            0.003961,            0.003961,            0.003961
                  63,            0.027191,            0.024681,           0.0026711,             0.90749,             0.85866,             0.91403,             0.64967,            0.025014,            0.036596,           0.0025553,            0.003862,            0.003862,            0.003862
                  64,            0.027194,            0.024732,            0.002651,             0.91677,             0.85685,             0.90952,             0.65309,            0.024904,            0.036544,           0.0024947,            0.003763,            0.003763,            0.003763
                  65,            0.026874,            0.024407,            0.002576,              0.9055,             0.84554,             0.90687,             0.65655,            0.024886,            0.036654,           0.0025408,            0.003664,            0.003664,            0.003664
                  66,            0.026961,            0.024952,           0.0025882,             0.90759,             0.86222,             0.91303,             0.65438,             0.02478,            0.036333,           0.0024975,            0.003565,            0.003565,            0.003565
                  67,            0.026882,            0.024286,           0.0025825,             0.88535,             0.86726,             0.91145,             0.65422,            0.024803,            0.036376,           0.0024431,            0.003466,            0.003466,            0.003466
                  68,            0.026629,            0.024177,           0.0025988,             0.91397,             0.86047,             0.91028,             0.65683,            0.024748,            0.036443,           0.0024414,            0.003367,            0.003367,            0.003367
                  69,            0.026535,            0.023953,           0.0024858,             0.90142,             0.86129,             0.91102,              0.6591,            0.024677,            0.036405,           0.0024222,            0.003268,            0.003268,            0.003268
                  70,            0.026228,            0.023922,           0.0024643,             0.90925,              0.8339,             0.90039,              0.6541,            0.024645,            0.036317,           0.0024579,            0.003169,            0.003169,            0.003169
                  71,            0.026358,            0.024193,           0.0024843,             0.90943,             0.85605,             0.91088,             0.65841,            0.024558,            0.036299,           0.0023944,             0.00307,             0.00307,             0.00307
                  72,            0.026162,            0.023805,           0.0023813,             0.90262,              0.8425,             0.90722,             0.66191,            0.024511,            0.036193,           0.0023902,            0.002971,            0.002971,            0.002971
                  73,            0.026095,            0.023636,           0.0025206,             0.90619,              0.8556,             0.90915,             0.66245,            0.024437,             0.03601,           0.0023584,            0.002872,            0.002872,            0.002872
                  74,            0.025924,            0.023726,           0.0024041,             0.91462,             0.85314,             0.90644,             0.66492,            0.024458,            0.036095,           0.0023589,            0.002773,            0.002773,            0.002773
                  75,            0.025924,            0.023749,           0.0024071,             0.93122,             0.82844,             0.90519,             0.66368,            0.024419,            0.035972,           0.0023535,            0.002674,            0.002674,            0.002674
                  76,            0.025549,             0.02312,           0.0023229,             0.91087,             0.85568,              0.9098,             0.66131,            0.024369,            0.035894,           0.0022891,            0.002575,            0.002575,            0.002575
                  77,            0.025759,            0.023572,           0.0024165,             0.90313,             0.85703,             0.90581,             0.66328,            0.024276,             0.03576,           0.0022693,            0.002476,            0.002476,            0.002476
                  78,            0.025499,            0.023175,           0.0023451,             0.90589,             0.86467,             0.91427,              0.6622,            0.024186,            0.035655,           0.0022785,            0.002377,            0.002377,            0.002377
                  79,             0.02556,            0.023299,           0.0022547,             0.91919,              0.8567,             0.90719,             0.66173,            0.024164,            0.035773,           0.0022806,            0.002278,            0.002278,            0.002278
                  80,            0.025466,            0.023202,           0.0023693,             0.91506,              0.8578,              0.9109,             0.66899,            0.024105,            0.035543,           0.0022864,            0.002179,            0.002179,            0.002179
                  81,            0.025235,             0.02307,           0.0022888,             0.91428,             0.85941,             0.91286,             0.67111,            0.024073,            0.035502,           0.0022797,             0.00208,             0.00208,             0.00208
                  82,            0.025405,             0.02315,           0.0023292,             0.91356,             0.85454,              0.9078,             0.66773,            0.024045,            0.035557,            0.002261,            0.001981,            0.001981,            0.001981
                  83,            0.025223,            0.022923,           0.0022197,             0.91277,             0.85743,             0.91002,             0.66607,            0.023992,            0.035457,           0.0022433,            0.001882,            0.001882,            0.001882
                  84,            0.024975,            0.022563,           0.0022437,             0.91448,             0.86506,             0.90992,             0.67096,            0.023983,            0.035489,           0.0022515,            0.001783,            0.001783,            0.001783
                  85,            0.025088,            0.022938,           0.0022168,             0.91085,             0.86082,              0.9117,             0.67213,            0.024009,            0.035414,           0.0022843,            0.001684,            0.001684,            0.001684
                  86,            0.024938,             0.02263,           0.0021951,             0.91052,             0.85764,              0.9092,             0.67203,            0.023951,            0.035342,           0.0023009,            0.001585,            0.001585,            0.001585
                  87,            0.024862,            0.022608,           0.0020888,             0.90884,             0.86637,             0.91199,             0.67086,            0.023907,            0.035259,           0.0023173,            0.001486,            0.001486,            0.001486
                  88,            0.024799,            0.022736,           0.0021818,             0.91291,             0.85578,             0.90551,             0.67045,            0.023876,            0.035328,           0.0022989,            0.001387,            0.001387,            0.001387
                  89,            0.024851,            0.022286,           0.0022256,             0.91955,             0.85758,             0.90881,              0.6721,            0.023848,            0.035339,           0.0022434,            0.001288,            0.001288,            0.001288
                  90,            0.024465,             0.02233,           0.0021176,             0.92474,             0.86095,             0.91171,             0.67719,            0.023797,            0.035328,           0.0022181,            0.001189,            0.001189,            0.001189
                  91,            0.024554,            0.022343,           0.0021408,             0.91699,             0.85336,             0.90979,             0.67315,            0.023758,            0.035303,           0.0022493,             0.00109,             0.00109,             0.00109
                  92,            0.024146,            0.021992,           0.0020536,             0.91929,              0.8546,             0.91066,             0.67556,            0.023765,            0.035287,           0.0022481,            0.000991,            0.000991,            0.000991
                  93,            0.024205,            0.021831,           0.0021388,             0.91807,             0.86035,             0.91307,             0.67523,            0.023746,            0.035331,           0.0022519,            0.000892,            0.000892,            0.000892
                  94,             0.02423,            0.022087,           0.0021405,             0.92781,             0.86063,             0.91044,              0.6757,            0.023709,            0.035301,           0.0022452,            0.000793,            0.000793,            0.000793
                  95,            0.024106,            0.021644,           0.0020604,             0.92797,             0.86026,             0.91236,             0.67892,            0.023687,            0.035258,            0.002247,            0.000694,            0.000694,            0.000694
                  96,            0.024112,            0.021936,           0.0020939,             0.91586,             0.86232,             0.91074,             0.67817,            0.023639,            0.035123,           0.0022375,            0.000595,            0.000595,            0.000595
                  97,             0.02393,             0.02172,           0.0020207,             0.91021,             0.86159,             0.90991,              0.6802,            0.023619,            0.035116,           0.0022379,            0.000496,            0.000496,            0.000496
                  98,            0.023838,            0.021681,           0.0020027,             0.91511,             0.86285,             0.90964,             0.68072,            0.023607,            0.035138,           0.0022347,            0.000397,            0.000397,            0.000397
                  99,            0.023916,            0.021737,           0.0020328,             0.91547,             0.85768,             0.90954,             0.67854,              0.0236,            0.035147,           0.0022464,            0.000298,            0.000298,            0.000298
